iterations,fitness,time,fevals
0,25.0,0.000725505,798
10,29.0,0.00132799,1512
20,30.0,0.001885678,2218
30,28.0,0.002433228,2923
40,29.0,0.002963793,3629
50,31.0,0.003501639,4342
60,34.0,0.004015043,5049
70,33.0,0.00451212,5748
80,34.0,0.005007529,6437
90,33.0,0.005481359,7127
100,35.0,0.005956092,7835
110,35.0,0.006441619,8527
120,36.0,0.006918796,9220
130,37.0,0.007404466,9915
140,36.0,0.007890319,10628
150,35.0,0.008350885,11331
160,35.0,0.008829402,12023
170,35.0,0.009295472,12728
180,35.0,0.009774417,13410
190,35.0,0.010272318,14125
200,35.0,0.010767377,14822
210,36.0,0.011267422,15521
220,36.0,0.01175009,16216
230,37.0,0.012229335,16916
240,37.0,0.012710544,17603
250,36.0,0.013197789,18312
260,37.0,0.013681835,19014
270,38.0,0.014146339,19707
280,38.0,0.01461317,20392
290,37.0,0.015100173,21086
300,36.0,0.01558984,21799
310,36.0,0.016074368,22501
320,37.0,0.016533053,23198
330,38.0,0.016982044,23907
340,40.0,0.017439582,24615
350,41.0,0.017957396,25298
360,41.0,0.018557382,26018
370,41.0,0.019229644,26706
380,41.0,0.019811247,27408
390,42.0,0.020289512,28098
400,42.0,0.020755464,28798
410,43.0,0.021234,29502
420,42.0,0.02169975,30185
430,41.0,0.022182893,30888
440,42.0,0.022748003,31590
450,44.0,0.023293614,32289
460,43.0,0.023842862,32975
470,43.0,0.024381956,33689
480,43.0,0.024857448,34368
490,44.0,0.025328813,35085
500,43.0,0.025777803,35780
510,44.0,0.026222536,36469
520,43.0,0.026692451,37172
530,42.0,0.027151953,37873
540,43.0,0.027689875,38564
550,44.0,0.028149044,39258
560,44.0,0.028610449,39946
570,44.0,0.029084362,40633
580,44.0,0.029553186,41336
590,42.0,0.030027602,42028
600,42.0,0.030506283,42731
610,41.0,0.031002213,43440
620,43.0,0.031497186,44129
630,42.0,0.031992922,44835
640,43.0,0.032485792,45548
650,44.0,0.032955307,46233
660,45.0,0.033433499,46947
670,53.0,0.033921732,47641
680,50.0,0.034412556,48339
690,52.0,0.034895595,49029
700,43.0,0.035382545,49729
710,43.0,0.035893514,50434
720,43.0,0.036396884,51116
730,43.0,0.036888625,51810
740,43.0,0.037351134,52495
750,43.0,0.037810464,53181
760,43.0,0.038262927,53869
770,44.0,0.038723371,54573
780,44.0,0.039229629,55275
790,43.0,0.040328217,55973
800,43.0,0.040770398,56684
810,43.0,0.041237627,57399
820,42.0,0.041699764,58090
830,42.0,0.042160144,58795
840,42.0,0.042610495,59502
850,42.0,0.043061186,60197
860,42.0,0.043520023,60887
870,42.0,0.044063461,61577
880,43.0,0.045096998,62262
890,42.0,0.045680058,62975
900,40.0,0.046131882,63664
910,41.0,0.046576789,64361
920,42.0,0.047028148,65054
930,42.0,0.047494743,65755
940,43.0,0.047938233,66447
950,43.0,0.04838377,67144
960,43.0,0.048845071,67833
970,43.0,0.049315031,68542
980,44.0,0.049788634,69230
990,43.0,0.050257354,69942
1000,43.0,0.050730244,70648
1010,44.0,0.051206125,71354
1020,45.0,0.051665828,72039
1030,44.0,0.052128134,72728
1040,44.0,0.052607163,73445
1050,44.0,0.05307383,74139
1060,45.0,0.05354009,74831
1070,44.0,0.053973979,75520
1080,45.0,0.054418596,76217
1090,46.0,0.054872229,76909
1100,46.0,0.055314465,77607
1110,46.0,0.055759585,78304
1120,46.0,0.056195819,78994
1130,46.0,0.05662795,79692
1140,46.0,0.057061003,80382
1150,45.0,0.057502218,81073
1160,45.0,0.057937406,81778
1170,45.0,0.058368228,82469
1180,46.0,0.058865532,83174
1190,47.0,0.059309288,83877
1200,46.0,0.059736725,84563
1210,46.0,0.060166649,85260
1220,47.0,0.060617408,85963
1230,46.0,0.061052943,86657
1240,47.0,0.061475408,87333
1250,46.0,0.061913575,88046
1260,47.0,0.062364085,88745
1270,47.0,0.062825636,89453
1280,47.0,0.063288824,90134
1290,49.0,0.063774201,90838
1300,48.0,0.064258338,91542
1310,53.0,0.064739276,92241
1320,48.0,0.065200423,92945
1330,52.0,0.065665179,93639
1340,47.0,0.066127634,94345
1350,53.0,0.066587347,95037
1360,58.0,0.067052437,95719
1370,49.0,0.067538734,96428
1380,50.0,0.067991266,97112
1390,52.0,0.068488141,97810
1400,49.0,0.068947078,98512
1410,52.0,0.069394077,99205
1420,56.0,0.069825872,99897
1430,54.0,0.070263937,100588
1440,54.0,0.070714631,101286
1450,58.0,0.071155865,101991
1460,53.0,0.071685886,102718
1470,53.0,0.072435978,103417
1480,59.0,0.073342404,104119
1490,55.0,0.074060336,104816
1500,58.0,0.074612633,105500
1510,58.0,0.075068963,106189
1520,58.0,0.075508558,106901
1530,58.0,0.075913663,107594
1540,59.0,0.076313332,108293
1550,59.0,0.076721246,109010
1560,58.0,0.077233711,109692
1570,61.0,0.077661513,110376
1580,58.0,0.078093858,111073
1590,58.0,0.078654947,111767
1600,59.0,0.079220074,112469
1610,61.0,0.079670135,113175
1620,59.0,0.080098856,113876
1630,59.0,0.080543828,114585
1640,57.0,0.080971589,115278
1650,58.0,0.081407472,115980
1660,58.0,0.081824347,116671
1670,57.0,0.082236587,117362
1680,58.0,0.082661101,118057
1690,57.0,0.083119907,118753
1700,58.0,0.083545675,119442
1710,58.0,0.083973192,120141
1720,57.0,0.08441002,120844
1730,58.0,0.084850087,121530
1740,54.0,0.085287918,122223
1750,54.0,0.085723819,122924
1760,55.0,0.086169672,123616
1770,53.0,0.086629383,124326
1780,53.0,0.08705566,125005
1790,56.0,0.087501549,125703
1800,53.0,0.087950443,126405
1810,54.0,0.088382461,127116
1820,54.0,0.088811178,127825
1830,54.0,0.089252004,128540
1840,54.0,0.089689074,129234
1850,55.0,0.090129218,129927
1860,54.0,0.090584838,130619
1870,56.0,0.091042626,131324
1880,54.0,0.091491893,132023
1890,55.0,0.091938679,132722
1900,54.0,0.092383177,133414
1910,55.0,0.092848595,134113
1920,56.0,0.093307351,134829
1930,57.0,0.093764449,135536
1940,58.0,0.094198354,136232
1950,54.0,0.094604583,136933
1960,54.0,0.095021217,137629
1970,55.0,0.095447672,138327
1980,57.0,0.095884549,139021
