iterations,fitness,time,fevals
0,29.0,0.069456619,1000
10,35.0,0.134380315,2100
20,34.0,0.192822848,3200
30,37.0,0.249940008,4300
40,43.0,0.300083523,5400
50,35.0,0.343888821,6500
60,37.0,0.388487168,7600
70,46.0,0.432447879,8700
80,46.0,0.477050642,9800
90,33.0,0.518679844,10900
100,36.0,0.559937065,12000
110,34.0,0.602324366,13100
120,34.0,0.645798456,14200
130,33.0,0.692362931,15300
140,33.0,0.746676357,16400
150,35.0,0.803314804,17500
160,46.0,0.861379997,18600
170,45.0,0.913481065,19700
180,34.0,0.963556126,20800
190,33.0,1.016272525,21900
200,34.0,1.061301073,23000
210,34.0,1.10557854,24100
220,35.0,1.146665635,25200
230,35.0,1.204067947,26300
240,35.0,1.25573514,27400
250,36.0,1.309782456,28500
260,39.0,1.370050834,29600
270,40.0,1.433875627,30700
280,40.0,1.501360394,31800
290,35.0,1.568795212,32900
300,35.0,1.620627526,34000
310,35.0,1.667062229,35100
320,40.0,1.716351207,36200
330,35.0,1.767736229,37300
340,38.0,1.817042777,38400
350,35.0,1.865618291,39500
360,40.0,1.966141656,40600
370,35.0,2.016359159,41700
380,35.0,2.069841773,42800
390,44.0,2.131026966,43900
400,40.0,2.20166607,45000
410,40.0,2.271018717,46100
420,36.0,2.337411422,47200
430,40.0,2.396120462,48300
440,36.0,2.454649158,49400
450,35.0,2.511610345,50500
460,40.0,2.568066772,51600
470,40.0,2.62578673,52700
480,39.0,2.672312696,53800
490,39.0,2.721360532,54900
500,39.0,2.781114047,56000
510,39.0,2.851090543,57100
520,39.0,2.924746665,58200
530,39.0,2.994556894,59300
540,39.0,3.054472378,60400
550,40.0,3.110249094,61500
560,39.0,3.165112107,62600
570,44.0,3.216873436,63700
580,44.0,3.260526549,64800
590,39.0,3.2998164,65900
600,39.0,3.339838446,67000
610,39.0,3.378848161,68100
620,40.0,3.418221304,69200
630,38.0,3.459146784,70300
640,39.0,3.499414459,71400
650,39.0,3.545391715,72500
