iterations,fitness,time,fevals
0,14.0,2.34889999999e-05,11
10,14.0,4.8265e-05,21
20,15.0,6.28460000001e-05,31
30,15.0,7.92890000001e-05,41
40,18.0,9.25469999999e-05,51
50,18.0,0.000104701,61
60,18.0,0.000113522,71
70,26.0,0.000124855,81
80,28.0,0.000134598,91
90,28.0,0.000145169,101
100,30.0,0.000155109,111
110,30.0,0.000165415,121
120,30.0,0.000174653,131
130,30.0,0.000185339,141
140,31.0,0.000194825,151
150,32.0,0.000204394,161
160,33.0,0.000214058,171
170,33.0,0.000227116,181
180,33.0,0.000237526,191
190,33.0,0.000247097,201
200,33.0,0.000253023,211
210,33.0,0.000259311,221
220,33.0,0.000266256,231
230,33.0,0.00027219,241
240,33.0,0.000278356,251
250,34.0,0.000285123,261
260,34.0,0.000291357,271
270,35.0,0.000297293,281
280,35.0,0.000304337,291
290,35.0,0.000312373,301
300,35.0,0.000319559,311
310,35.0,0.000326509,321
320,35.0,0.000332996,331
330,35.0,0.000340635,341
340,35.0,0.000351766,351
350,35.0,0.000365704,361
360,35.0,0.000376265,371
370,35.0,0.000385202,381
380,35.0,0.000395688,391
390,35.0,0.000402104,401
400,35.0,0.000412721,411
410,35.0,0.000420950000001,421
420,36.0,0.0004278,431
430,36.0,0.000434910000001,441
440,37.0,0.000441706000001,451
450,38.0,0.000447913000001,461
460,38.0,0.000454214000001,471
470,38.0,0.000460257000001,481
480,38.0,0.000466243000001,491
490,38.0,0.000472303000001,501
500,38.0,0.000478373000001,511
510,40.0,0.000484275000001,521
520,40.0,0.000490447000001,531
530,40.0,0.000496359000001,541
540,40.0,0.000502704000001,551
550,41.0,0.000508444000001,561
560,41.0,0.000515049000001,571
570,41.0,0.000520729000001,581
580,41.0,0.000526886000001,591
590,41.0,0.000533092000001,601
600,41.0,0.000539537000001,611
610,41.0,0.000545174000001,621
620,41.0,0.000552194000001,631
630,41.0,0.000558074000001,641
640,43.0,0.000564192000001,651
650,43.0,0.000570258000001,661
660,43.0,0.000576091000001,671
670,43.0,0.000582668000001,681
680,44.0,0.000589184000001,691
690,44.0,0.000595215000001,701
700,44.0,0.000600923000001,711
710,44.0,0.000608759000001,721
720,44.0,0.000615251000001,731
730,44.0,0.000621189000001,741
740,45.0,0.000627542000001,751
750,45.0,0.000633543000001,761
760,45.0,0.000644173000001,771
770,45.0,0.000651807000001,781
780,46.0,0.000661097000001,791
790,47.0,0.000668366000001,801
800,47.0,0.000685891000001,811
810,47.0,0.000692227000001,821
820,47.0,0.000698459000001,831
830,47.0,0.000704359000001,841
840,47.0,0.000710368000001,851
850,47.0,0.000718141000001,861
860,47.0,0.000725276,871
870,47.0,0.00073134,881
880,48.0,0.00073774,891
890,48.0,0.000743971,901
900,48.0,0.000750155,911
910,48.0,0.000755936,921
920,49.0,0.000766709000001,931
930,49.0,0.000775658000001,941
940,50.0,0.000785469000001,951
950,55.0,0.000792965000001,961
960,55.0,0.000799992000001,971
970,57.0,0.000806467000001,981
980,57.0,0.000812134000001,991
990,57.0,0.000817698000001,1001
1000,57.0,0.000826867000001,1011
1010,57.0,0.000832679000001,1021
1020,57.0,0.000839381000001,1031
1030,57.0,0.000848010000001,1041
1040,57.0,0.000854061000001,1051
1050,57.0,0.000859864000001,1061
1060,57.0,0.000865353000001,1071
1070,57.0,0.000872122000001,1081
1080,57.0,0.000877968000001,1091
1090,57.0,0.000883927000001,1101
1100,57.0,0.000889772000001,1111
1110,59.0,0.000895886000001,1121
1120,60.0,0.000902513000001,1131
1130,60.0,0.000908636000001,1141
1140,60.0,0.000914358000001,1151
1150,61.0,0.000921566000001,1161
1160,61.0,0.000926900000001,1171
1170,61.0,0.000932849000001,1181
1180,61.0,0.000938707000001,1191
1190,62.0,0.000944631000001,1201
1200,62.0,0.000950666000001,1211
1210,62.0,0.000956545000001,1221
1220,62.0,0.000963100000001,1231
1230,63.0,0.000969009000001,1241
1240,63.0,0.000975598000001,1251
1250,63.0,0.000981381000001,1261
1260,63.0,0.000987735000001,1271
1270,64.0,0.000993825000001,1281
1280,64.0,0.00100008,1291
1290,64.0,0.001006589,1301
1300,65.0,0.001014851,1311
1310,65.0,0.001021933,1321
1320,65.0,0.001028392,1331
1330,65.0,0.001036318,1341
1340,70.0,0.00104315,1351
1350,70.0,0.001049186,1361
1360,70.0,0.001054971,1371
1370,70.0,0.001063165,1381
1380,70.0,0.001069142,1391
1390,70.0,0.001075349,1401
1400,70.0,0.00108117,1411
1410,70.0,0.001090795,1421
