iterations,fitness,time,fevals
0,16.0,2.60280000002e-05,11
10,13.0,4.50570000003e-05,21
20,13.0,6.01200000001e-05,31
30,14.0,7.5077e-05,41
40,14.0,9.17190000003e-05,51
50,14.0,0.000110797,61
60,15.0,0.000169023,71
70,15.0,0.000190491,81
80,15.0,0.000207135,91
90,15.0,0.000222462,101
100,15.0,0.000238852,111
110,15.0,0.000254367,121
120,15.0,0.000271824,131
130,15.0,0.000296047,141
140,15.0,0.00031458,151
150,16.0,0.000337894,161
160,16.0,0.000360933000001,171
170,16.0,0.00037668,181
180,16.0,0.000392512,191
190,16.0,0.000406168,201
200,16.0,0.000420464,211
210,16.0,0.000438985000001,221
220,16.0,0.000457960000001,231
230,16.0,0.000555181000001,241
240,16.0,0.000596986000001,251
250,16.0,0.000616386000001,261
260,16.0,0.000640243000001,271
270,16.0,0.000658204000001,281
280,16.0,0.000676352000001,291
290,17.0,0.000691781000001,301
300,17.0,0.000705309000001,311
310,17.0,0.000721081000001,321
320,17.0,0.000736483000001,331
330,17.0,0.000753019000002,341
340,20.0,0.000787289000002,351
350,20.0,0.000803926000001,361
360,20.0,0.000820613000001,371
370,21.0,0.000834664000001,381
380,21.0,0.000848502000002,391
390,21.0,0.000865595000001,401
400,21.0,0.000879934000001,411
410,21.0,0.000893172000001,421
420,22.0,0.000909754000001,431
430,22.0,0.000925643000001,441
440,22.0,0.000941159000001,451
450,23.0,0.000955741000001,461
460,23.0,0.000974422000001,471
470,23.0,0.000993624000001,481
480,23.0,0.001007818,491
490,23.0,0.00102916,501
500,23.0,0.001043886,511
510,23.0,0.001056936,521
520,23.0,0.001072954,531
530,24.0,0.00108654,541
540,24.0,0.001100507,551
550,25.0,0.001114242,561
560,26.0,0.001128428,571
570,26.0,0.00114226,581
580,26.0,0.001155342,591
590,26.0,0.001168593,601
600,26.0,0.001186669,611
610,26.0,0.001202789,621
620,26.0,0.001222353,631
630,26.0,0.001236964,641
640,26.0,0.001251193,651
650,26.0,0.00126494,661
660,26.0,0.001281122,671
670,26.0,0.00129444,681
680,26.0,0.001308438,691
690,26.0,0.001322368,701
700,26.0,0.001335827,711
710,26.0,0.00135027,721
720,27.0,0.001378803,731
730,27.0,0.001395751,741
740,27.0,0.001413356,751
750,28.0,0.001427881,761
760,28.0,0.001444438,771
770,28.0,0.00145951,781
780,28.0,0.001537231,791
790,28.0,0.001552435,801
800,28.0,0.001568696,811
810,29.0,0.001585665,821
820,29.0,0.001604177,831
830,29.0,0.00162045,841
840,29.0,0.001636058,851
850,29.0,0.001658212,861
860,32.0,0.001675435,871
870,32.0,0.001690239,881
880,32.0,0.001705609,891
890,32.0,0.001720765,901
900,32.0,0.001734865,911
910,32.0,0.001752304,921
920,32.0,0.0017709,931
930,32.0,0.00178708,941
940,33.0,0.001827551,951
950,33.0,0.001843565,961
960,33.0,0.001859454,971
970,33.0,0.001874499,981
980,33.0,0.001889204,991
990,33.0,0.001905301,1001
1000,33.0,0.001919504,1011
1010,33.0,0.001933337,1021
1020,33.0,0.00194872,1031
1030,33.0,0.001965197,1041
1040,33.0,0.001978643,1051
1050,33.0,0.001992387,1061
1060,33.0,0.002005779,1071
1070,33.0,0.00203609,1081
1080,35.0,0.002052574,1091
1090,36.0,0.00206654,1101
1100,36.0,0.002080689,1111
1110,36.0,0.002135499,1121
1120,36.0,0.002150818,1131
1130,39.0,0.002167256,1141
1140,39.0,0.002180288,1151
1150,39.0,0.002192978,1161
1160,39.0,0.002207316,1171
1170,39.0,0.002219362,1181
1180,39.0,0.002231683,1191
1190,39.0,0.002243159,1201
1200,39.0,0.002254463,1211
1210,39.0,0.002266597,1221
1220,39.0,0.00227938,1231
1230,41.0,0.002293049,1241
1240,43.0,0.002306664,1251
1250,43.0,0.002319152,1261
1260,43.0,0.00233656,1271
1270,43.0,0.002352322,1281
1280,43.0,0.002364765,1291
1290,47.0,0.00237804,1301
1300,48.0,0.002395171,1311
1310,48.0,0.002409123,1321
1320,48.0,0.002421247,1331
1330,49.0,0.002435202,1341
1340,49.0,0.00244982,1351
1350,50.0,0.002461853,1361
1360,50.0,0.002474552,1371
1370,50.0,0.002488128,1381
1380,50.0,0.002500605,1391
1390,51.0,0.002513609,1401
1400,51.0,0.002525837,1411
1410,51.0,0.002538791,1421
1420,51.0,0.002551713,1431
1430,51.0,0.002563969,1441
1440,51.0,0.002577481,1451
1450,51.0,0.002590722,1461
1460,51.0,0.002609988,1471
1470,51.0,0.002629316,1481
1480,53.0,0.002668455,1491
1490,59.0,0.00268816,1501
1500,59.0,0.002704448,1511
1510,59.0,0.002719553,1521
1520,59.0,0.002732993,1531
1530,59.0,0.002748071,1541
1540,59.0,0.002762994,1551
1550,59.0,0.002777634,1561
1560,59.0,0.002793291,1571
1570,59.0,0.002807606,1581
1580,59.0,0.002819861,1591
1590,59.0,0.002832726,1601
1600,59.0,0.002847048,1611
1610,59.0,0.002866153,1621
1620,59.0,0.002883889,1631
1630,59.0,0.002898441,1641
1640,60.0,0.002913695,1651
1650,61.0,0.002926947,1661
1660,61.0,0.002951343,1671
1670,61.0,0.002968133,1681
1680,61.0,0.002987074,1691
1690,61.0,0.00300009,1701
1700,61.0,0.003013008,1711
1710,61.0,0.00302929,1721
1720,61.0,0.003043903,1731
1730,61.0,0.00308215,1741
1740,61.0,0.003098736,1751
1750,61.0,0.003112964,1761
1760,61.0,0.003127075,1771
1770,63.0,0.003141579,1781
1780,63.0,0.00315669,1791
1790,63.0,0.003172306,1801
1800,63.0,0.003190364,1811
1810,63.0,0.003203793,1821
1820,63.0,0.00321743,1831
1830,63.0,0.00323412,1841
1840,63.0,0.003250591,1851
1850,63.0,0.003264754,1861
1860,63.0,0.00328326,1871
1870,63.0,0.003297854,1881
1880,63.0,0.003330832,1891
1890,63.0,0.003347145,1901
1900,63.0,0.003360893,1911
1910,63.0,0.003374304,1921
1920,64.0,0.003387846,1931
1930,65.0,0.003408691,1941
1940,67.0,0.003422945,1951
1950,69.0,0.003436897,1961
1960,69.0,0.003451807,1971
1970,69.0,0.003465842,1981
1980,69.0,0.003478418,1991
1990,69.0,0.003496072,2001
2000,70.0,0.003509702,2011
2010,70.0,0.003524799,2021
2020,70.0,0.003541226,2031
2030,70.0,0.003562464,2041
2040,71.0,0.003577024,2051
2050,71.0,0.003591706,2061
2060,71.0,0.003610281,2071
2070,71.0,0.003626458,2081
2080,71.0,0.003639857,2091
2090,71.0,0.003653776,2101
2100,71.0,0.003669968,2111
2110,71.0,0.003684408,2121
2120,71.0,0.003700274,2131
2130,71.0,0.003713767,2141
2140,71.0,0.003727443,2151
2150,71.0,0.003744001,2161
2160,71.0,0.003775034,2171
2170,71.0,0.003789047,2181
2180,71.0,0.00380534,2191
2190,71.0,0.003819452,2201
2200,71.0,0.003834839,2211
2210,71.0,0.003851667,2221
2220,71.0,0.003865081,2231
2230,71.0,0.003884266,2241
2240,71.0,0.003901227,2251
2250,71.0,0.003920829,2261
2260,72.0,0.003986684,2271
2270,72.0,0.00400317,2281
2280,72.0,0.004023508,2291
2290,72.0,0.004041412,2301
2300,72.0,0.004059084,2311
2310,72.0,0.004074534,2321
2320,72.0,0.004090201,2331
2330,73.0,0.004107631,2341
2340,75.0,0.004195949,2351
2350,75.0,0.004212402,2361
2360,75.0,0.004231074,2371
2370,75.0,0.004247216,2381
2380,75.0,0.004263004,2391
2390,78.0,0.004281278,2401
2400,78.0,0.004295418,2411
2410,78.0,0.004311693,2421
2420,78.0,0.004333762,2431
2430,78.0,0.004372985,2441
2440,78.0,0.004391383,2451
2450,78.0,0.004407043,2461
2460,78.0,0.004431461,2471
2470,78.0,0.004446106,2481
2480,78.0,0.004462322,2491
2490,78.0,0.004478684,2501
2500,78.0,0.004492025,2511
2510,78.0,0.004506452,2521
2520,78.0,0.004520812,2531
2530,78.0,0.004533783,2541
2540,78.0,0.004549433,2551
2550,78.0,0.004562628,2561
2560,78.0,0.004576186,2571
2570,78.0,0.004589945,2581
2580,78.0,0.004602749,2591
2590,78.0,0.00462265,2601
2600,78.0,0.004636428,2611
2610,78.0,0.004649861,2621
2620,78.0,0.004666095,2631
2630,78.0,0.004692625,2641
2640,78.0,0.004709112,2651
2650,78.0,0.004723575,2661
2660,78.0,0.004749964,2671
2670,78.0,0.00476297,2681
2680,78.0,0.004778769,2691
2690,79.0,0.00479116,2701
2700,79.0,0.004803837,2711
2710,79.0,0.004816467,2721
2720,79.0,0.004828831,2731
2730,79.0,0.004841322,2741
2740,80.0,0.004856547,2751
2750,80.0,0.004871877,2761
2760,80.0,0.004885934,2771
2770,80.0,0.004899407,2781
2780,80.0,0.004911755,2791
2790,80.0,0.004926232,2801
2800,80.0,0.004939007,2811
2810,80.0,0.004951721,2821
2820,80.0,0.004964656,2831
2830,80.0,0.004976885,2841
2840,80.0,0.004992014,2851
2850,80.0,0.005005613,2861
2860,80.0,0.005025902,2871
2870,80.0,0.005038545,2881
2880,80.0,0.005051523,2891
2890,80.0,0.005064631,2901
2900,80.0,0.005078322,2911
2910,80.0,0.005093749,2921
2920,80.0,0.005106751,2931
2930,80.0,0.005118976,2941
2940,80.0,0.005131669,2951
2950,80.0,0.005144695,2961
2960,80.0,0.005162443,2971
2970,80.0,0.005178462,2981
2980,80.0,0.005194378,2991
2990,80.0,0.005207313,3001
3000,80.0,0.005248181,3011
3010,80.0,0.00526674,3021
3020,80.0,0.005282293,3031
3030,81.0,0.005296265,3041
3040,81.0,0.005314569,3051
3050,81.0,0.005330127,3061
3060,81.0,0.005368403,3071
3070,81.0,0.005385852,3081
3080,82.0,0.005404126,3091
3090,82.0,0.005420806,3101
3100,82.0,0.005437815,3111
3110,82.0,0.005455962,3121
3120,82.0,0.005469468,3131
3130,83.0,0.0054824,3141
3140,83.0,0.005499883,3151
3150,84.0,0.00551888,3161
3160,85.0,0.005536451,3171
3170,85.0,0.005550394,3181
3180,85.0,0.00556644,3191
3190,85.0,0.005586903,3201
3200,85.0,0.005603242,3211
3210,85.0,0.005617327,3221
3220,85.0,0.005631493,3231
3230,85.0,0.005644664,3241
3240,87.0,0.005659447,3251
3250,87.0,0.005672582,3261
3260,87.0,0.005693193,3271
3270,87.0,0.005707502,3281
3280,87.0,0.005724982,3291
3290,87.0,0.005740844,3301
3300,87.0,0.005758034,3311
3310,87.0,0.005772656,3321
3320,87.0,0.005787552,3331
3330,87.0,0.005800827,3341
3340,88.0,0.005814004,3351
3350,88.0,0.005829627,3361
3360,88.0,0.005843397,3371
3370,88.0,0.005859154,3381
3380,88.0,0.005872857,3391
3390,88.0,0.005887497,3401
