iterations,fitness,time,fevals
0,557.0,8.91182374,1000
10,583.0,17.436119805,2100
20,610.0,25.679877512,3200
30,643.0,33.641232375,4300
40,679.0,41.186267559,5400
50,707.0,48.320780102,6500
60,729.0,55.287038154,7600
70,739.0,62.112164194,8700
80,753.0,68.72919321,9800
90,755.0,75.246149461,10900
100,759.0,81.64782759,12000
110,769.0,88.098685049,13100
120,763.0,94.572688985,14200
130,767.0,101.091405717,15300
140,769.0,107.490204812,16400
150,767.0,113.804520009,17500
160,767.0,120.19628183,18600
170,767.0,126.622153455,19700
180,771.0,132.973116727,20800
190,765.0,139.446382881,21900
200,765.0,145.877104407,23000
210,763.0,152.401129742,24100
220,769.0,158.918208803,25200
230,771.0,165.342759907,26300
240,773.0,171.835592037,27400
250,769.0,178.339938368,28500
260,767.0,184.672575666,29600
270,775.0,191.19105809,30700
280,763.0,197.742348051,31800
290,771.0,204.109583113,32900
300,773.0,210.552284345,34000
310,779.0,216.890134643,35100
320,777.0,223.40574759,36200
330,781.0,229.693112666,37300
340,775.0,236.068122562,38400
350,781.0,242.371097111,39500
360,773.0,248.750937194,40600
370,781.0,255.03964639,41700
380,783.0,261.354644523,42800
390,781.0,267.721455412,43900
400,777.0,274.027859952,45000
410,777.0,280.309992303,46100
420,771.0,286.675229677,47200
430,777.0,293.023499917,48300
440,779.0,299.411577681,49400
450,775.0,305.842173934,50500
460,777.0,312.259315711,51600
470,773.0,318.622618586,52700
480,773.0,325.033973548,53800
490,775.0,331.387069904,54900
500,777.0,337.785404481,56000
510,775.0,344.484739124,57100
520,775.0,350.889966285,58200
530,777.0,357.128417772,59300
540,777.0,363.643162902,60400
550,781.0,369.991336505,61500
560,781.0,376.251659212,62600
570,777.0,382.578545596,63700
580,781.0,388.923233969,64800
590,779.0,395.236126883,65900
600,779.0,401.690106839,67000
610,783.0,408.037446319,68100
620,781.0,414.382155732,69200
630,777.0,420.83076395,70300
640,781.0,427.123747686,71400
650,779.0,433.397500429,72500
660,789.0,439.840501951,73600
670,779.0,446.222190745,74700
680,787.0,452.490679836,75800
690,785.0,458.863399279,76900
700,777.0,465.485840504,78000
710,783.0,471.994997754,79100
720,789.0,478.198519844,80200
730,783.0,484.517867446,81300
740,785.0,490.758280821,82400
750,777.0,497.232219966,83500
760,783.0,503.57656388,84600
770,783.0,509.878003359,85700
780,783.0,516.228577125,86800
790,785.0,522.533955431,87900
800,779.0,528.848393823,89000
810,785.0,535.598111024,90100
820,787.0,541.959106324,91200
830,787.0,548.241225235,92300
840,785.0,554.564504082,93400
850,787.0,560.810351657,94500
860,787.0,567.1609712,95600
870,789.0,574.125192397,96700
880,783.0,580.631155395,97800
890,787.0,586.820319189,98900
900,779.0,593.320132205,100000
910,785.0,599.666957411,101100
920,787.0,605.99517222,102200
930,783.0,612.260330529,103300
940,791.0,618.570404413,104400
950,785.0,624.857831363,105500
960,789.0,631.071705634,106600
970,789.0,637.336899748,107700
980,785.0,643.604886963,108800
990,781.0,650.001703864,109900
1000,785.0,656.422405449,111000
1010,785.0,662.804264137,112100
1020,791.0,669.6242483,113200
1030,789.0,675.887928526,114300
1040,791.0,682.321293144,115400
1050,793.0,688.644526122,116500
1060,793.0,695.076092713,117600
1070,799.0,701.265204359,118700
1080,803.0,707.752539079,119800
1090,793.0,714.02552446,120900
1100,801.0,720.377759257,122000
1110,799.0,726.69014304,123100
1120,797.0,733.75446917,124200
1130,791.0,740.093989277,125300
1140,797.0,746.337626532,126400
1150,795.0,752.652134862,127500
1160,797.0,759.02077315,128600
1170,799.0,765.261625096,129700
1180,801.0,771.555583746,130800
1190,795.0,777.98285681,131900
1200,797.0,784.207394217,133000
1210,799.0,790.480467677,134100
1220,797.0,796.930453398,135200
1230,799.0,803.15375393,136300
1240,799.0,809.427441549,137400
1250,798.0,815.706110101,138500
1260,797.0,822.089041843,139600
1270,791.0,828.376401577,140700
1280,799.0,834.714095384,141800
1290,793.0,841.02469046,142900
1300,799.0,847.431588146,144000
1310,797.0,853.643682947,145100
1320,795.0,860.016098609,146200
1330,795.0,866.340495872,147300
1340,789.0,872.752985156,148400
1350,797.0,879.158255105,149500
1360,799.0,885.434950046,150600
1370,793.0,891.759409234,151700
1380,799.0,898.115458465,152800
1390,793.0,904.341963215,153900
1400,795.0,910.628820965,155000
1410,801.0,916.891621223,156100
1420,797.0,923.183305344,157200
1430,801.0,929.535689107,158300
1440,797.0,935.847622464,159400
1450,791.0,942.149862243,160500
1460,795.0,948.545148355,161600
1470,802.0,954.897323108,162700
1480,793.0,961.219504163,163800
1490,799.0,968.262890944,164900
1500,797.0,974.39345465,166000
1510,805.0,980.698977884,167100
1520,797.0,987.001392784,168200
1530,795.0,993.357071916,169300
