iterations,fitness,time,fevals
0,499.0,5.7902e-05,11
10,503.0,0.000113093,21
20,503.0,0.000175621,31
30,503.0,0.000255607,41
40,503.0,0.000316053,51
50,503.0,0.000365886,61
60,509.0,0.000440638,71
70,511.0,0.000500211,81
80,511.0,0.000552108,91
90,515.0,0.000608241,101
100,515.0,0.000657368,111
110,517.0,0.000709281,121
120,517.0,0.000760706,131
130,517.0,0.000812613,141
140,517.0,0.000870315,151
150,517.0,0.000922609,161
160,519.0,0.000995613,171
170,519.0,0.001048126,181
180,523.0,0.001108838,191
190,523.0,0.001159436,201
200,523.0,0.001213755,211
210,523.0,0.001278198,221
220,529.0,0.001327521,231
230,531.0,0.001388458,241
240,535.0,0.001441275,251
250,539.0,0.001526525,261
260,541.0,0.001578214,271
270,541.0,0.001630968,281
280,545.0,0.001696219,291
290,549.0,0.001760596,301
300,549.0,0.001851494,311
310,549.0,0.001918211,321
320,551.0,0.001990342,331
330,553.0,0.002057709,341
340,555.0,0.002122486,351
350,557.0,0.00220023,361
360,561.0,0.002256993,371
370,565.0,0.002331456,381
380,569.0,0.002416718,391
390,569.0,0.002470536,401
400,575.0,0.002524534,411
410,577.0,0.002583305,421
420,579.0,0.002634755,431
430,581.0,0.002686087,441
440,581.0,0.002736293,451
450,581.0,0.002786305,461
460,581.0,0.010605205,471
470,583.0,0.010663634,481
480,583.0,0.010717101,491
490,583.0,0.010771331,501
500,587.0,0.010832956,511
510,587.0,0.010898701,521
520,589.0,0.010951537,531
530,591.0,0.011004725,541
540,593.0,0.011061464,551
550,595.0,0.011126605,561
560,595.0,0.011193032,571
570,599.0,0.011303648,581
580,599.0,0.011371903,591
590,603.0,0.01143456,601
600,603.0,0.011512195,611
610,603.0,0.011568911,621
620,603.0,0.011640179,631
630,605.0,0.011695346,641
640,607.0,0.011752508,651
650,607.0,0.011808393,661
660,611.0,0.011866009,671
670,611.0,0.011956649,681
680,613.0,0.012010466,691
690,617.0,0.012065759,701
700,617.0,0.012119977,711
710,617.0,0.012185799,721
720,619.0,0.012256128,731
730,621.0,0.012323223,741
740,625.0,0.012378406,751
750,625.0,0.012432765,761
760,627.0,0.012499876,771
770,627.0,0.012555239,781
780,627.0,0.012618542,791
790,627.0,0.012671939,801
800,629.0,0.012732279,811
810,629.0,0.01279914,821
820,635.0,0.012852035,831
830,637.0,0.012917982,841
840,637.0,0.013005464,851
850,639.0,0.013088259,861
860,641.0,0.013154705,871
870,643.0,0.013211996,881
880,643.0,0.013280254,891
890,643.0,0.013340322,901
900,645.0,0.013397788,911
910,645.0,0.013464175,921
920,645.0,0.01352098,931
930,645.0,0.013573922,941
940,649.0,0.013693176,951
950,651.0,0.013757679,961
960,655.0,0.013814957,971
970,655.0,0.013888709,981
980,655.0,0.013945885,991
990,655.0,0.014014112,1001
1000,657.0,0.014067967,1011
1010,659.0,0.014119231,1021
1020,659.0,0.014181138,1031
1030,659.0,0.014231877,1041
1040,659.0,0.014294007,1051
1050,661.0,0.014346896,1061
1060,661.0,0.01440003,1071
1070,661.0,0.014464508,1081
