iterations,fitness,time,fevals
0,478.0,1.94660000001e-05,11
10,478.0,3.332e-05,21
20,474.0,4.72419999999e-05,31
30,472.0,5.95159999999e-05,41
40,468.0,7.47699999999e-05,51
50,470.0,8.74469999999e-05,61
60,472.0,0.000105686,71
70,476.0,0.000118055,81
80,482.0,0.000133294,91
90,482.0,0.000147004,101
100,486.0,0.000161359,111
110,490.0,0.000176741,121
120,494.0,0.000200493,131
130,494.0,0.00021757,141
140,498.0,0.000235368,151
150,504.0,0.000252482,161
160,504.0,0.000271503,171
170,504.0,0.000307386,181
180,504.0,0.000320434,191
190,510.0,0.000334238,201
200,514.0,0.000347977,211
210,516.0,0.000363617,221
220,520.0,0.000381809,231
230,520.0,0.000395923,241
240,522.0,0.000409089,251
250,522.0,0.000421487,261
260,524.0,0.000434536,271
270,526.0,0.00044662,281
280,526.0,0.000460515,291
290,528.0,0.000473201,301
300,532.0,0.000486245,311
310,532.0,0.00049967,321
320,532.0,0.000512641,331
330,536.0,0.000527324,341
340,538.0,0.000539994,351
350,540.0,0.000552744,361
360,544.0,0.000565886,371
370,544.0,0.000579131,381
380,546.0,0.000596525,391
390,546.0,0.000609123,401
400,548.0,0.00062142,411
410,550.0,0.000634012,421
420,550.0,0.000660365,431
430,552.0,0.000675373,441
440,558.0,0.000689738,451
450,560.0,0.000702924,461
460,560.0,0.000726085,471
470,560.0,0.00073951,481
480,560.0,0.000754859000001,491
490,560.0,0.000783115000001,501
500,564.0,0.000804741,511
510,564.0,0.000817468,521
520,564.0,0.000834459,531
530,570.0,0.000847477,541
540,570.0,0.000865305,551
550,574.0,0.000878194,561
560,578.0,0.000894948,571
570,582.0,0.000909088,581
580,584.0,0.000924609000001,591
590,586.0,0.000942595000001,601
600,588.0,0.000961729000001,611
610,588.0,0.000982004000001,621
620,590.0,0.000999816000001,631
630,592.0,0.001021234,641
640,592.0,0.001039088,651
650,594.0,0.001058335,661
660,594.0,0.001079635,671
670,594.0,0.001097472,681
680,596.0,0.001119168,691
690,596.0,0.001137567,701
700,596.0,0.001174825,711
710,596.0,0.001188567,721
720,600.0,0.001202654,731
730,602.0,0.001216389,741
740,604.0,0.001242826,751
750,606.0,0.001265237,761
760,610.0,0.001286001,771
770,612.0,0.001299788,781
780,614.0,0.001313332,791
790,614.0,0.001330812,801
800,616.0,0.001346452,811
810,616.0,0.00138446,821
820,618.0,0.001403992,831
830,622.0,0.00142301,841
840,622.0,0.001442916,851
850,622.0,0.001463054,861
860,624.0,0.00148531,871
870,624.0,0.001500129,881
880,624.0,0.001518986,891
890,624.0,0.001533761,901
900,624.0,0.001550566,911
910,626.0,0.00157235,921
920,626.0,0.001587583,931
930,626.0,0.001601363,941
940,626.0,0.001614644,951
950,628.0,0.001631712,961
960,630.0,0.001648911,971
970,632.0,0.001665205,981
980,632.0,0.001684232,991
990,632.0,0.001699199,1001
1000,636.0,0.001714435,1011
1010,638.0,0.001728056,1021
1020,640.0,0.001749968,1031
1030,644.0,0.001766623,1041
