iterations,fitness,time,fevals
0,543.0,0.002793771,655
10,534.0,0.00514748,1212
20,536.0,0.007265606,1752
30,534.0,0.009206481,2290
40,536.0,0.011097305,2842
50,530.0,0.012977477,3394
60,540.0,0.014691933,3943
70,536.0,0.016295445,4489
80,540.0,0.01785719,5029
90,548.0,0.019299826,5580
100,538.0,0.020781351,6131
110,550.0,0.022213777,6677
120,544.0,0.023742405,7227
130,542.0,0.025153715,7771
140,544.0,0.02649879,8313
150,554.0,0.027841912,8851
160,548.0,0.029127677,9395
170,554.0,0.030385483,9948
180,554.0,0.031643997,10498
190,548.0,0.032934056,11054
200,550.0,0.034293286,11607
210,548.0,0.035574862,12154
220,546.0,0.038616205,12700
230,548.0,0.040151874,13245
240,548.0,0.04170849,13792
250,546.0,0.043268857,14337
260,546.0,0.044892528,14882
270,548.0,0.046473685,15429
280,546.0,0.048203083,15977
290,544.0,0.049702805,16522
300,548.0,0.051220674,17069
310,546.0,0.053140739,17626
320,546.0,0.054648036,18163
330,548.0,0.056294347,18711
340,548.0,0.057870934,19255
350,548.0,0.05942693,19815
360,550.0,0.060997501,20372
370,548.0,0.062512575,20915
380,550.0,0.064081609,21470
390,554.0,0.065591947,22023
400,550.0,0.066896205,22576
410,552.0,0.06808693,23124
420,546.0,0.06928347,23681
430,548.0,0.070469833,24227
440,550.0,0.071654509,24779
450,548.0,0.072828467,25323
460,548.0,0.074104981,25869
470,550.0,0.075298381,26424
480,550.0,0.076481192,26980
490,550.0,0.077689441,27526
500,550.0,0.078869321,28065
510,552.0,0.080066339,28621
520,550.0,0.08153388,29169
530,550.0,0.082729145,29723
540,552.0,0.083904003,30267
550,556.0,0.08508084,30813
560,554.0,0.086369367,31352
570,552.0,0.087556599,31897
580,550.0,0.088750431,32452
590,552.0,0.089935558,33000
600,552.0,0.091128943,33552
610,552.0,0.092377048,34098
620,552.0,0.095652235,34646
630,556.0,0.097002624,35192
640,552.0,0.098186377,35741
650,554.0,0.099371879,36284
660,556.0,0.100562862,36836
670,554.0,0.10174839,37374
680,554.0,0.10292373,37921
690,552.0,0.104120454,38474
700,554.0,0.10575094,39018
710,554.0,0.107581488,39570
720,554.0,0.108781873,40108
730,552.0,0.110575091,40662
740,552.0,0.11215568,41204
750,552.0,0.113498984,41748
760,556.0,0.114807849,42298
770,556.0,0.115988386,42850
780,554.0,0.117435211,43396
790,554.0,0.118625904,43936
800,554.0,0.11999716,44483
810,554.0,0.121178169,45024
820,556.0,0.122350311,45566
830,556.0,0.123530075,46115
840,552.0,0.124717857,46658
850,552.0,0.125901092,47206
860,552.0,0.127080109,47757
870,552.0,0.128280825,48301
880,556.0,0.129453931,48848
890,556.0,0.130634785,49397
900,552.0,0.13180606,49944
910,554.0,0.132988587,50499
920,556.0,0.134162938,51055
930,554.0,0.135348599,51600
940,556.0,0.136581204,52150
950,556.0,0.137885059,52695
960,558.0,0.139097684,53241
970,558.0,0.140271374,53784
980,556.0,0.141443889,54338
990,556.0,0.142619465,54885
1000,556.0,0.143804041,55436
1010,556.0,0.144985629,55979
1020,556.0,0.148082505,56528
1030,558.0,0.149245454,57071
1040,558.0,0.150425753,57622
1050,560.0,0.151685488,58170
1060,562.0,0.152879192,58724
1070,560.0,0.154063642,59271
1080,562.0,0.155238438,59815
1090,560.0,0.156428369,60366
1100,558.0,0.157608398,60916
1110,562.0,0.158935583,61466
1120,560.0,0.160112904,62007
1130,562.0,0.161506446,62554
1140,560.0,0.16317728,63097
1150,560.0,0.164568584,63645
1160,564.0,0.166321454,64188
1170,564.0,0.167751949,64733
1180,562.0,0.169798066,65278
1190,564.0,0.17191794,65831
1200,566.0,0.173582509,66385
1210,566.0,0.175237933,66928
1220,566.0,0.176708531,67481
1230,570.0,0.178237196,68036
1240,568.0,0.179688674,68587
1250,568.0,0.181123193,69137
1260,568.0,0.18254246,69685
1270,566.0,0.18397414,70225
1280,566.0,0.185411657,70771
1290,568.0,0.186770741,71330
1300,570.0,0.188155238,71875
1310,570.0,0.189474255,72421
1320,568.0,0.190785474,72965
1330,564.0,0.192078909,73522
1340,568.0,0.193375986,74075
1350,572.0,0.194660713,74622
1360,574.0,0.195949031,75169
1370,568.0,0.197240779,75711
1380,570.0,0.198538399,76259
1390,568.0,0.199828488,76804
1400,572.0,0.201116882,77348
1410,570.0,0.202406223,77897
1420,570.0,0.203697659,78447
1430,568.0,0.206250872,78998
1440,566.0,0.207516461,79550
1450,566.0,0.208832073,80098
1460,566.0,0.210086308,80645
