iterations,fitness,time,fevals
0,558.0,9.60402357,1000
10,606.0,17.825182417,2100
20,661.0,25.016456119,3200
30,697.0,31.40475976,4300
40,707.0,37.305661203,5400
50,719.0,43.141212954,6500
60,717.0,48.863087477,7600
70,719.0,54.370146044,8700
80,721.0,60.414705094,9800
90,719.0,65.951509733,10900
100,723.0,71.441373619,12000
110,721.0,77.011233386,13100
120,719.0,82.462367258,14200
130,723.0,88.066495189,15300
140,723.0,93.467542133,16400
150,729.0,99.267516803,17500
160,731.0,104.872872782,18600
170,733.0,110.308253901,19700
180,733.0,115.777031487,20800
190,737.0,121.267276147,21900
200,741.0,127.729797655,23000
210,741.0,133.242770717,24100
220,739.0,138.673554579,25200
230,739.0,144.16889229,26300
240,741.0,149.706238628,27400
250,739.0,155.114239457,28500
260,741.0,160.538615595,29600
270,739.0,166.00541339,30700
280,741.0,171.467059722,31800
290,739.0,176.903667552,32900
300,741.0,182.504259991,34000
310,739.0,188.154600651,35100
320,739.0,193.562990449,36200
330,741.0,199.211568993,37300
340,741.0,204.556736756,38400
350,745.0,210.281741579,39500
360,743.0,215.775194837,40600
370,745.0,221.222089667,41700
380,745.0,227.065052705,42800
390,744.0,232.808474395,43900
400,747.0,238.358506016,45000
410,747.0,243.826983487,46100
420,747.0,249.300971719,47200
430,745.0,254.716313196,48300
440,745.0,260.196553455,49400
450,745.0,265.667476549,50500
460,749.0,271.159238158,51600
470,749.0,276.49371264,52700
480,747.0,282.02132633,53800
490,749.0,287.459779354,54900
500,749.0,292.981122297,56000
510,749.0,298.345457323,57100
520,749.0,303.848331349,58200
530,749.0,310.083913368,59300
540,753.0,315.931520076,60400
550,749.0,321.337542275,61500
560,749.0,326.87882468,62600
570,753.0,332.45553415,63700
580,751.0,338.002991822,64800
590,749.0,343.43137836,65900
600,751.0,348.856476238,67000
610,751.0,354.388032116,68100
620,755.0,360.067449407,69200
630,751.0,365.790593997,70300
640,753.0,371.292584065,71400
650,753.0,376.686177832,72500
660,753.0,382.205317169,73600
670,751.0,387.635036723,74700
680,751.0,393.098808162,75800
690,753.0,398.642980245,76900
700,751.0,404.114592007,78000
710,751.0,409.487571972,79100
720,751.0,415.72358936,80200
730,751.0,421.141840232,81300
740,753.0,426.724989464,82400
750,753.0,432.231045781,83500
