iterations,fitness,time,fevals
0,480.0,6.796e-05,11
10,482.0,0.000133296,21
20,488.0,0.000210833,31
30,488.0,0.00027004,41
40,496.0,0.000331664,51
50,498.0,0.000392663,61
60,500.0,0.000467919,71
70,506.0,0.000540764,81
80,510.0,0.000613755,91
90,512.0,0.000679267,101
100,516.0,0.000743812,111
110,520.0,0.000846255,121
120,520.0,0.000950255,131
130,522.0,0.001055758,141
140,524.0,0.001140574,151
150,528.0,0.001250177,161
160,530.0,0.001329327,171
170,532.0,0.001393435,181
180,534.0,0.008034076,191
190,536.0,0.008067168,201
200,538.0,0.008089539,211
210,546.0,0.008139343,221
220,546.0,0.008185114,231
230,548.0,0.008216141,241
240,552.0,0.008235534,251
250,552.0,0.008256064,261
260,554.0,0.008300945,271
270,554.0,0.008324416,281
280,554.0,0.008343715,291
290,556.0,0.008373183,301
300,560.0,0.008392329,311
310,562.0,0.008412432,321
320,562.0,0.008432938,331
330,564.0,0.00847014,341
340,566.0,0.008491914,351
350,566.0,0.008514395,361
360,566.0,0.008544846,371
370,570.0,0.00856393,381
380,572.0,0.008582739,391
390,572.0,0.008601925,401
400,574.0,0.008629237,411
410,576.0,0.008647538,421
420,576.0,0.008665709,431
430,578.0,0.008684371,441
440,582.0,0.008702877,451
450,586.0,0.008725092,461
460,594.0,0.008743909,471
470,594.0,0.008763302,481
480,594.0,0.008794619,491
490,594.0,0.00886538,501
500,596.0,0.008897553,511
510,596.0,0.008917295,521
520,596.0,0.008937173,531
530,598.0,0.008957157,541
540,600.0,0.008976436,551
550,602.0,0.008995365,561
560,604.0,0.009017356,571
570,606.0,0.009036813,581
580,606.0,0.009055607,591
590,608.0,0.009077195,601
600,608.0,0.009095716,611
610,610.0,0.009123616,621
620,610.0,0.00914158,631
630,612.0,0.009160117,641
640,614.0,0.009178953,651
650,614.0,0.009197887,661
660,614.0,0.009218121,671
670,616.0,0.009236645,681
680,620.0,0.009255432,691
690,624.0,0.009289706,701
700,626.0,0.009309388,711
710,628.0,0.009333598,721
720,630.0,0.009352675,731
730,632.0,0.009371377,741
740,634.0,0.009390465,751
750,634.0,0.009409052,761
760,634.0,0.00942763,771
770,634.0,0.009448405,781
780,636.0,0.009466553,791
790,638.0,0.009484941,801
800,638.0,0.009504146,811
810,638.0,0.00952296,821
820,638.0,0.009548082,831
830,640.0,0.00956734,841
840,640.0,0.00958635,851
850,642.0,0.009605302,861
860,642.0,0.009636392,871
870,644.0,0.009668051,881
880,644.0,0.009689184,891
890,648.0,0.009708392,901
900,648.0,0.009727551,911
910,648.0,0.009746446,921
920,648.0,0.009774476,931
930,650.0,0.009793177,941
940,650.0,0.009811539,951
950,654.0,0.009830775,961
960,654.0,0.00985072,971
970,656.0,0.009869575,981
980,656.0,0.009890541,991
990,656.0,0.009909001,1001
1000,658.0,0.009927797,1011
1010,658.0,0.009946839,1021
1020,658.0,0.009965768,1031
1030,658.0,0.009992854,1041
1040,662.0,0.010013255,1051
1050,666.0,0.010039434,1061
1060,666.0,0.010059096,1071
1070,666.0,0.010079338,1081
1080,668.0,0.010102897,1091
1090,668.0,0.010122804,1101
1100,668.0,0.010143318,1111
1110,672.0,0.010169292,1121
1120,674.0,0.010188697,1131
1130,674.0,0.010216538,1141
1140,676.0,0.010234762,1151
1150,676.0,0.010253084,1161
1160,678.0,0.010271286,1171
1170,678.0,0.010289735,1181
1180,682.0,0.010308331,1191
1190,684.0,0.010329143,1201
1200,684.0,0.010347345,1211
1210,684.0,0.010365959,1221
1220,688.0,0.01040289,1231
1230,692.0,0.010422593,1241
1240,692.0,0.010450414,1251
1250,692.0,0.010476875,1261
1260,692.0,0.01050886,1271
1270,692.0,0.010539668,1281
1280,692.0,0.0105679,1291
1290,692.0,0.010594858,1301
1300,692.0,0.010614614,1311
1310,692.0,0.010634859,1321
1320,693.0,0.010655291,1331
1330,693.0,0.010673932,1341
1340,693.0,0.010703699,1351
1350,695.0,0.010723212,1361
1360,695.0,0.010743739,1371
1370,697.0,0.010765807,1381
1380,697.0,0.010785452,1391
1390,697.0,0.010825484,1401
1400,697.0,0.010873957,1411
1410,699.0,0.010911028,1421
1420,699.0,0.01094528,1431
1430,701.0,0.010973862,1441
