iterations,fitness,time,fevals
0,512.0,7.67580000001e-05,11
10,512.0,0.000115497,21
20,518.0,0.000150194,31
30,520.0,0.000185128,41
40,520.0,0.000211927,51
50,522.0,0.000252688,61
60,522.0,0.000271212,71
70,528.0,0.000296712,81
80,528.0,0.000314701,91
90,528.0,0.00034902,101
100,528.0,0.000368157,111
110,532.0,0.000399233,121
120,532.0,0.000426507,131
130,536.0,0.000456765,141
140,540.0,0.000480346,151
150,544.0,0.000499707,161
160,544.0,0.000529353,171
170,544.0,0.000556888,181
180,544.0,0.000578039,191
190,546.0,0.000597737,201
200,552.0,0.000616895,211
210,556.0,0.000644086,221
220,558.0,0.000673105,231
230,558.0,0.000691417,241
240,558.0,0.000712664,251
250,560.0,0.000740238,261
260,560.0,0.000761952,271
270,562.0,0.000780315,281
280,564.0,0.000797937,291
290,566.0,0.000828458,301
300,566.0,0.000843516,311
310,566.0,0.000857687,321
320,568.0,0.00087229,331
330,574.0,0.000887743,341
340,578.0,0.000902808,351
350,580.0,0.000917494,361
360,582.0,0.000932777,371
370,582.0,0.000950123,381
380,582.0,0.000965157,391
390,584.0,0.000980796,401
400,588.0,0.000997018,411
410,588.0,0.001012252,421
420,590.0,0.001034084,431
430,590.0,0.001048559,441
440,590.0,0.001063409,451
450,592.0,0.001078023,461
460,592.0,0.00109353,471
470,592.0,0.001111143,481
480,594.0,0.001126549,491
490,594.0,0.001143905,501
500,596.0,0.001208245,511
510,602.0,0.001235143,521
520,606.0,0.001284902,531
530,608.0,0.001317688,541
540,608.0,0.001348297,551
550,610.0,0.001373675,561
560,612.0,0.001393001,571
570,612.0,0.00140731,581
580,612.0,0.001428374,591
590,614.0,0.001447437,601
600,614.0,0.001464327,611
610,618.0,0.001488847,621
620,618.0,0.00150308,631
630,620.0,0.001530388,641
640,624.0,0.001544881,651
650,626.0,0.001564134,661
660,628.0,0.001578275,671
670,628.0,0.001597417,681
680,630.0,0.001617724,691
690,634.0,0.001636701,701
700,634.0,0.001658135,711
710,636.0,0.001677588,721
720,638.0,0.001696772,731
730,638.0,0.001711468,741
740,638.0,0.001730543,751
750,644.0,0.001751109,761
760,646.0,0.001772181,771
770,652.0,0.001793486,781
780,652.0,0.001813232,791
790,652.0,0.001839311,801
800,652.0,0.001860689,811
810,652.0,0.001877708,821
820,652.0,0.001897863,831
830,652.0,0.001912193,841
840,652.0,0.001940638,851
850,652.0,0.001955038,861
860,654.0,0.001974342,871
870,654.0,0.001996227,881
880,654.0,0.002010964,891
890,656.0,0.002031851,901
900,658.0,0.002051985,911
910,662.0,0.002067528,921
920,664.0,0.002088585,931
930,664.0,0.002104359,941
940,664.0,0.002136989,951
950,664.0,0.00215891,961
960,664.0,0.002174208,971
970,666.0,0.00219436,981
980,666.0,0.002209164,991
990,666.0,0.002228357,1001
1000,666.0,0.002244994,1011
1010,670.0,0.002264698,1021
1020,672.0,0.00227946,1031
1030,672.0,0.002303581,1041
1040,674.0,0.002328024,1051
1050,676.0,0.002355588,1061
1060,678.0,0.00239972,1071
1070,678.0,0.002418488,1081
1080,678.0,0.002436616,1091
1090,678.0,0.00245443,1101
1100,678.0,0.002509925,1111
1110,678.0,0.002542062,1121
1120,680.0,0.002563393,1131
1130,680.0,0.00258246,1141
1140,682.0,0.002599953,1151
1150,684.0,0.002618313,1161
1160,684.0,0.002636362,1171
1170,686.0,0.002654376,1181
1180,686.0,0.002671755,1191
1190,688.0,0.002689821,1201
1200,690.0,0.002706956,1211
1210,692.0,0.002728057,1221
1220,694.0,0.002745516,1231
1230,696.0,0.002763712,1241
1240,696.0,0.002781267,1251
1250,696.0,0.002799136,1261
1260,696.0,0.002826142,1271
1270,696.0,0.002843086,1281
1280,700.0,0.002861133,1291
1290,700.0,0.002879331,1301
1300,702.0,0.002896756,1311
1310,702.0,0.002917283,1321
1320,706.0,0.002934759,1331
1330,706.0,0.002952089,1341
1340,706.0,0.002969247,1351
1350,706.0,0.00298635,1361
1360,706.0,0.003007302,1371
1370,706.0,0.003024623,1381
1380,708.0,0.003044164,1391
1390,708.0,0.003061017,1401
1400,708.0,0.003078419,1411
1410,708.0,0.003095259,1421
1420,710.0,0.003115475,1431
1430,710.0,0.00313234,1441
1440,710.0,0.003148658,1451
1450,710.0,0.003165596,1461
1460,712.0,0.003183274,1471
1470,712.0,0.003210867,1481
1480,712.0,0.003228167,1491
1490,712.0,0.003245314,1501
1500,712.0,0.00326185,1511
1510,714.0,0.003278367,1521
1520,714.0,0.003297344,1531
1530,714.0,0.003314566,1541
1540,716.0,0.003332624,1551
1550,718.0,0.003350093,1561
1560,718.0,0.003367451,1571
1570,718.0,0.00338411,1581
1580,720.0,0.003401042,1591
1590,720.0,0.003417485,1601
1600,722.0,0.003433913,1611
1610,722.0,0.003450248,1621
1620,722.0,0.003488885,1631
1630,722.0,0.003513088,1641
1640,722.0,0.003535962,1651
1650,722.0,0.003565729,1661
1660,722.0,0.003592616,1671
1670,722.0,0.003611455,1681
1680,724.0,0.003647713,1691
1690,724.0,0.003667901,1701
1700,724.0,0.003687422,1711
1710,726.0,0.003705027,1721
1720,726.0,0.00372191,1731
1730,728.0,0.00374162,1741
1740,728.0,0.003758503,1751
1750,728.0,0.003775591,1761
1760,728.0,0.003792619,1771
1770,728.0,0.00381033,1781
1780,728.0,0.003826862,1791
1790,728.0,0.003843776,1801
1800,730.0,0.003861589,1811
1810,730.0,0.003879175,1821
1820,730.0,0.003896224,1831
1830,732.0,0.003913708,1841
1840,732.0,0.003932672,1851
1850,734.0,0.00394953,1861
1860,734.0,0.003976872,1871
1870,734.0,0.003996882,1881
1880,734.0,0.004016619,1891
1890,734.0,0.004048683,1901
1900,734.0,0.004065941,1911
1910,734.0,0.004083893,1921
1920,734.0,0.004100967,1931
1930,734.0,0.004117945,1941
1940,734.0,0.004137623,1951
1950,734.0,0.00415432,1961
1960,736.0,0.004171501,1971
1970,736.0,0.004189007,1981
1980,738.0,0.004208004,1991
1990,740.0,0.004226177,2001
2000,740.0,0.00424338,2011
2010,740.0,0.004259769,2021
2020,740.0,0.004275976,2031
2030,740.0,0.004297389,2041
2040,740.0,0.004315259,2051
2050,740.0,0.004333535,2061
2060,740.0,0.004350167,2071
2070,740.0,0.004366588,2081
2080,740.0,0.004384963,2091
2090,740.0,0.0044024,2101
2100,740.0,0.004424557,2111
2110,742.0,0.004441512,2121
2120,742.0,0.004458255,2131
2130,744.0,0.004475127,2141
2140,746.0,0.004492212,2151
2150,748.0,0.004510534,2161
2160,750.0,0.004527353,2171
2170,752.0,0.004544142,2181
2180,752.0,0.004560746,2191
2190,752.0,0.004577618,2201
2200,752.0,0.004594634,2211
2210,752.0,0.004611832,2221
2220,754.0,0.004646292,2231
2230,754.0,0.004664416,2241
2240,754.0,0.004681548,2251
2250,754.0,0.004698246,2261
2260,754.0,0.0047175,2271
2270,754.0,0.004734749,2281
2280,754.0,0.004751725,2291
2290,754.0,0.004768405,2301
2300,754.0,0.004785533,2311
2310,754.0,0.004809466,2321
2320,754.0,0.004825828,2331
2330,754.0,0.004842701,2341
2340,754.0,0.004859692,2351
2350,754.0,0.004875821,2361
2360,754.0,0.004895476,2371
2370,758.0,0.004912215,2381
2380,758.0,0.004928668,2391
2390,758.0,0.004945588,2401
2400,758.0,0.004962033,2411
2410,758.0,0.004980358,2421
2420,758.0,0.004997399,2431
2430,758.0,0.005026919,2441
2440,758.0,0.005043341,2451
2450,758.0,0.005059751,2461
2460,758.0,0.005075884,2471
2470,758.0,0.005094724,2481
2480,758.0,0.005111331,2491
2490,758.0,0.005127825,2501
2500,758.0,0.005144576,2511
2510,758.0,0.005161153,2521
2520,758.0,0.005183759,2531
2530,758.0,0.005199777,2541
2540,758.0,0.005216256,2551
2550,758.0,0.005232924,2561
2560,758.0,0.005250391,2571
2570,758.0,0.005268972,2581
2580,760.0,0.005285335,2591
2590,760.0,0.005302266,2601
2600,760.0,0.005318306,2611
2610,760.0,0.005335113,2621
2620,760.0,0.005351694,2631
2630,760.0,0.005368173,2641
2640,760.0,0.005384581,2651
2650,760.0,0.00540102,2661
2660,760.0,0.005423703,2671
