problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,RHC,"[]",99.0,4250,0.012345563,4261.0
CONTPEAKS,MIMIC,"['100', '50', '0.5']",73.0,4630,24.289295058,510300.0
CONTPEAKS,SA,"['0.55']",99.0,4080,0.00266605,4091.0
CONTPEAKS,GA,"['100', '50', '30']",86.0,4850,0.21457423899999997,306527.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",834.0,3370,2254.1891153,371700.0
FLIPFLOP,GA,"['100', '30', '50']",607.0,4270,0.5861264829999999,246969.0
FLIPFLOP,SA,"['0.75']",838.0,4980,0.008932668000000001,4991.0
FLIPFLOP,RHC,"[]",804.0,4830,0.010635347,4841.0
NN,SA,"['/NN', 'SA', '0.5']",0.642857142857,2620,177.930441195,0
NN,GA,"['/NN', 'GA', '50', '10', '1']",0.68,2420,1504.40574478,0
NN,Backprop,"['/NN', 'Backpro']",0.678899082569,60,8.334110812,0
NN,RHC,"['/NN', 'RH']",0.6336633663369999,1880,202.14478395700002,0
TSP,SA,"['0.55']",0.0563006270247,2920,0.00292982900464,2931.0
TSP,GA,"['100', '30', '10']",0.112548669933,1510,0.187528956005,55896.0
TSP,MIMIC,"['100', '50', '0.1']",0.035371661457,2690,298.33407011599996,296900.0
TSP,RHC,"[]",0.05574717354040001,2990,0.00261997301641,3001.0
